date,year,month,das_dollar,ifem_dollar,bdc_dollar,pounds,euro,cfafr,allitems_year_on,allitems_average,food_year_on,food_average,allitemslessfrmprodyearon,allitemslessfrmprodaverage,allitemslessfrmprodandenergyyearon,allitemslessfrmprodandenergyavg,selected_rate,exchange_series_used,selected_rate_log,imputed,selected_rate_imputed,pre_series_start,cpi_monthly,cpi_growth,cpi_index
1990-01-01,1990,1,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1990-02-01,1990,2,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1990-03-01,1990,3,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1990-04-01,1990,4,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1990-05-01,1990,5,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1990-06-01,1990,6,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1990-07-01,1990,7,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1990-08-01,1990,8,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1990-09-01,1990,9,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1990-10-01,1990,10,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1990-11-01,1990,11,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1990-12-01,1990,12,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1991-01-01,1991,1,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1991-02-01,1991,2,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1991-03-01,1991,3,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1991-04-01,1991,4,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1991-05-01,1991,5,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1991-06-01,1991,6,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1991-07-01,1991,7,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1991-08-01,1991,8,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1991-09-01,1991,9,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1991-10-01,1991,10,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1991-11-01,1991,11,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1991-12-01,1991,12,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1992-01-01,1992,1,,,,,,,,,,,,,,,,,,False,,True,,,0.0
1992-02-01,1992,2,,,,,,,,,,,,,,,,,,False,,True,,,0.0
